9ID,96IB,,485,
9ID,91DRC,,97,
9ID,92DRC,,97,
9ID,93DRC,,97,
9ID,9MIB,,182,
9ID,9CMO Bn,,189,
9ID,HHSBn,,787,
9ID,SSBn,,183,
9ID,Stn Hosp,,44,
9ID,9DTS,,39,
9ID,22IB (per DLT),,0,
9ID,0,,0,
9ID,0,,0,
9ID,0,,0,
9ID,0,,0,
9ID,Sub-total,0,5688,0
10ID,1001BDE,,63,
10ID,1002BDE,,76,
10ID,1003BDE,,72,
10ID,25IB,,439,
10ID,28IB,,425,
10ID,66IB,,418,
10ID,67IB,,412,
10ID,27IB,,466,
10ID,39IB,,468,
10ID,73IB,,453,
10ID,60IB,,454,
10ID,89IB,,458,
10ID,72IB,,370,
10ID,101DRC,,86,
10ID,102DRC,,85,
10ID,103DRC,,84,
10ID,10MIB,,207,
10ID,10CMO Bn,,111,
10ID,HHSBn,,1212,
10ID,SSBn,,145,
10ID,10DTS,,61,
10ID,0,,0,
10ID,0,,0,
10ID,0,,0,
10ID,0,,0,
10ID,0,,0,
10ID,Sub-total,0,6565,0
11ID,11ID (P),,0,
11ID,1101BDE (Former 501Bde),,58,
11ID,1102BDE,,66,
11ID,32IB,,378,
11ID,35IB,,358,
11ID,11MIB (P),,41,
11ID,15CMOB (P),,58,
11ID,HHSBn (P),,116,
11ID,SSB (P),,32,
11ID,11DTS (P),,12,
11ID,21IB,,394,
11ID,41IB,,392,
11ID,0,,0,
11ID,0,,0,
11ID,0,,0,
11ID,Sub-total,0,1905,0
MID,1MechBde,,57,
MID,2MechBde,,55,
MID,1MechBn,,433,
MID,2MechBn,,441,
MID,3MechBn,,409,
MID,4MechBn,,430,
MID,5MechBn,,432,
MID,1CavSqdn,,210,
MID,2CavSqdn,,210,
MID,1LACT (S),,64,
MID,2LACT (S),,72,
MID,3LACT (S),,69,
MID,4LACT (S),,71,
MID,5LACT (S),,72,
MID,6LACT (S),,66,
MID,7LACT (S),,67,
MID,8LACT (S) (P),,63,
MID,AABn,,92,
MID,HHSBn,,359,
MID,AMBn,,94,
MID,TAS,,35,
MID,"12LACT, 1CAV",,0,
MID,0,,0,
MID,0,,0,
MID,0,,0,
MID,0,,0,
MID,Sub-total,0,3801,0
SFRA,HHC,,431,
SFRA,1SFBn,,358,
SFRA,2SFBn,,364,
SFRA,3SFBn,,397,
SFRA,4SFBn,,400,
SFRA,5SFBn,,281,
SFRA,6SFBn,,394,
SFRA,11SFC(R)(S),,113,
SFRA,12SFC(R)(S),,112,
SFRA,18SFC(R)(S),,105,
SFRA,SFS,,122,
SFRA,16SFC,,0,
SFRA,0,,0,
SFRA,0,,0,
SFRA,0,,0,
SFRA,0,,0,
SFRA,Sub-total,0,3077,0
FSRR,HHC,,543,
FSRR,1SRBn,,444,
FSRR,2SRBn,,445,
FSRR,3SRBn,,450,
FSRR,4SRBn,,464,
FSRR,5SRBn,,443,
FSRR,16SRC (S),,107,
FSRR,SRS,,172,
FSRR,13SRC,,0,
FSRR,0,,0,
FSRR,0,,0,
FSRR,0,,0,
FSRR,0,,0,
FSRR,Sub-total,0,3068,0
LRR,HHC,,345,
LRR,1LRC,,90,
LRR,2LRC,,94,
LRR,3LRC,,97,
LRR,4LRC,,104,
LRR,5LRC,,92,
LRR,6LRC,,95,
LRR,CTDTS,,72,
LRR,7LRC,,0,
